Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Names (primary),Gene Names (ORF),Gene Names (synonym)
Q7CPK4,unreviewed,Q7CPK4_SALTY,"Gluconokinase, EC 2.7.1.12",gntK STM3542,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),177,gntK,,
Q7CPK5,reviewed,FEOC_SALTY,Probable [Fe-S]-dependent transcriptional repressor,feoC STM3507,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),78,feoC,,
Q7CPK9,unreviewed,Q7CPK9_SALTY,"Phosphoribulokinase, EC 2.7.1.19",prkB STM3464,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),289,prkB,,
Q7CPL3,reviewed,RL23_SALTY,50S ribosomal protein L23,rplW STM3438,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),100,rplW,,
Q7CPL4,reviewed,RL16_SALTY,50S ribosomal protein L16,rplP STM3433,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),136,rplP,,
Q7CPL5,reviewed,RL14_SALTY,50S ribosomal protein L14,rplN STM3430,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),123,rplN,,
Q7CPL6,reviewed,RL18_SALTY,50S ribosomal protein L18,rplR STM3424,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),117,rplR,,
Q7CPL7,reviewed,RL17_SALTY,50S ribosomal protein L17,rplQ STM3414,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),127,rplQ,,
Q7CPL9,unreviewed,Q7CPL9_SALTY,"Methyltransferase, EC 2.1.1.-",yhdJ STM3386,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),294,yhdJ,,
Q7CPM0,unreviewed,Q7CPM0_SALTY,"Biotin carboxylase, EC 6.3.4.14",accC STM3380,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),449,accC,,
Q7CPM1,unreviewed,Q7CPM1_SALTY,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,accB STM3379,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),156,accB,,
Q7CPM3,unreviewed,Q7CPM3_SALTY,Rod shape-determining protein MreD,mreD STM3372,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),163,mreD,,
Q7CPM4,unreviewed,Q7CPM4_SALTY,Ribonuclease G,cafA STM3370,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),489,cafA,,
Q7CPM7,reviewed,AAEX_SALTY,Protein AaeX,aaeX STM3366,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),67,aaeX,,
Q7CPM8,reviewed,AAEA_SALTY,"p-hydroxybenzoic acid efflux pump subunit AaeA, pHBA efflux pump protein A",aaeA STM3365,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),310,aaeA,,
Q7CPN3,unreviewed,Q7CPN3_SALTY,"Peptidase Do, EC 3.4.21.107",degS STM3349,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),356,degS,,
Q7CPN9,unreviewed,Q7CPN9_SALTY,Lipopolysaccharide export system ATP-binding protein LptB,yhbG STM3319,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),241,yhbG,,
Q7CPP0,unreviewed,Q7CPP0_SALTY,Lipopolysaccharide export system protein LptC,yrbK lptC STM3317,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),191,yrbK,,lptC
Q7CPP1,unreviewed,Q7CPP1_SALTY,Intermembrane phospholipid transport system permease protein MlaE,yrbE STM3312,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),260,yrbE,,
Q7CPP7,reviewed,RL21_SALTY,50S ribosomal protein L21,rplU STM3304,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),103,rplU,,
Q7CPQ0,unreviewed,Q7CPQ0_SALTY,Protein-export membrane protein SecG,secG STM3293,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),110,secG,,
Q7CPQ1,reviewed,NLPI_SALTY,Lipoprotein NlpI,nlpI STM3281,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),294,nlpI,,
Q7CPQ2,unreviewed,Q7CPQ2_SALTY,Ubiquinone biosynthesis protein UbiU,yhbU ubiU STM3274,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),331,yhbU,,ubiU
Q7CPR5,unreviewed,Q7CPR5_SALTY,Modulator protein MzrA,yqjB mzrA STM3227,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),127,yqjB,,mzrA
Q7CPR7,reviewed,MUG_SALTY,"G/U mismatch-specific DNA glycosylase, EC 3.2.2.28 (Double-strand-specific uracil glycosylase) (Mismatch-specific uracil DNA-glycosylase, MUG)",mug STM3212,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),168,mug,,
Q7CPS6,unreviewed,Q7CPS6_SALTY,Biopolymer transport protein ExbD,exbD STM3158,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),141,exbD,,
Q7CPT7,unreviewed,Q7CPT7_SALTY,"Periplasmic L-asparaginase II, EC 3.5.1.1",ansB STM3106,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),348,ansB,,
Q7CPT9,unreviewed,Q7CPT9_SALTY,MFS family galactose:proton symporter,galP STM3091,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),464,galP,,
Q7CPU3,unreviewed,Q7CPU3_SALTY,Putative Zn-dependent proteases with possible chaperone function,yggG STM3077,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),252,yggG,,
Q7CPU9,reviewed,ZAPA_SALTY,Cell division protein ZapA (Z ring-associated protein ZapA),zapA STM3060,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),109,zapA,,
Q7CPV1,reviewed,SDHE_SALTY,FAD assembly factor SdhE,sdhE ygfY STM3047,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),88,sdhE,,ygfY
Q7CPV2,reviewed,VAPB_SALTY,Antitoxin VapB,vapB STM3034,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),75,vapB,,
Q7CPV3,reviewed,RCNR_SALTY,Transcriptional repressor RcnR,rcnR STM3023,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),90,rcnR,,
Q7CPW5,unreviewed,Q7CPW5_SALTY,"6-carboxy-5,6,7,8-tetrahydropterin synthase, EC 4.-.-.-",ptpS STM2949,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),120,ptpS,,
Q7CPZ3,reviewed,BAME_SALTY,Outer membrane protein assembly factor BamE,bamE smpA STM2685,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),112,bamE,,smpA
Q7CPZ4,reviewed,GRPE_SALTY,Protein GrpE (HSP-70 cofactor),grpE STM2681,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),196,grpE,,
Q7CPZ7,unreviewed,Q7CPZ7_SALTY,Signal recognition particle protein (Fifty-four homolog),ffh STM2677,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),453,ffh,,
Q7CPZ8,unreviewed,Q7CPZ8_SALTY,T-protein,tyrA STM2669,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),373,tyrA,,
Q7CQ04,unreviewed,Q7CQ04_SALTY,"Putative tRNA/rRNA methyltransferase, EC 2.1.1.-",yfiF STM2648,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),345,yfiF,,
Q7CQ05,reviewed,GRCA_SALTY,Autonomous glycyl radical cofactor,grcA STM2646,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),127,grcA,,
Q7CQ10,reviewed,ISCR_SALTY,HTH-type transcriptional regulator IscR,iscR STM2544,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),164,iscR,,
Q7CQ11,unreviewed,Q7CQ11_SALTY,Iron-sulfur cluster assembly scaffold protein IscU,nifU STM2542,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),128,nifU,,
Q7CQ12,reviewed,ISCA_SALTY,Iron-binding protein IscA (Iron-sulfur cluster assembly protein),iscA STM2541,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),107,iscA,,
Q7CQ13,unreviewed,Q7CQ13_SALTY,2Fe-2S ferredoxin,fdx STM2538,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),111,fdx,,
Q7CQ14,unreviewed,Q7CQ14_SALTY,Protein IscX,yfhJ STM2537,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),66,yfhJ,,
Q7CQ15,unreviewed,Q7CQ15_SALTY,Ancillary SecYEG translocon subunit,yfgM STM2521,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),206,yfgM,,
Q7CQ21,reviewed,HDA_SALTY,DnaA regulatory inactivator Hda,hda STM2496,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),241,hda,,
Q7CQ24,reviewed,YPFN_SALTY,UPF0370 protein YpfN,ypfN STM2484,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),66,ypfN,,
Q7CQ34,unreviewed,Q7CQ34_SALTY,Probable membrane transporter protein,yfcA STM2382,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),269,yfcA,,
Q7CQ36,unreviewed,Q7CQ36_SALTY,"3-oxoacyl-[acyl-carrier-protein] synthase I, EC 2.3.1.41",fabB STM2378,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),404,fabB,,
Q7CQ37,reviewed,FLK_SALTY,Flagellar regulator flk (Fluke),flk STM2371,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),333,flk,,
Q7CQ43,unreviewed,Q7CQ43_SALTY,"Phosphoesterase, EC 3.1.4.-",yfcE STM2347,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),183,yfcE,,
Q7CQ52,unreviewed,Q7CQ52_SALTY,"NADH-quinone oxidoreductase subunit J, EC 7.1.1.-",nuoJ STM2320,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),184,nuoJ,,
Q7CQ55,unreviewed,Q7CQ55_SALTY,Putative inner membrane protein,elaB STM2311,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),103,elaB,,
Q7CQ60,unreviewed,Q7CQ60_SALTY,Chaperone NapD (NapA signal peptide-binding chaperone NapD),napD STM2260,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),87,napD,,
Q7CQ61,unreviewed,Q7CQ61_SALTY,"Periplasmic nitrate reductase, electron transfer subunit (Diheme cytochrome c NapB)",napB STM2256,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),149,napB,,
Q7CQ65,unreviewed,Q7CQ65_SALTY,Heme exporter protein D,ccmD STM2251 STM3816,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),70,ccmD,,
Q7CQ71,reviewed,RL25_SALTY,50S ribosomal protein L25,rplY STM2224,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),94,rplY,,
Q7CQ78,unreviewed,Q7CQ78_SALTY,Phosphofructokinase,fruK STM2205,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),312,fruK,,
Q7CQ86,unreviewed,Q7CQ86_SALTY,Putative outer membrane efflux protein,yohG STM2172,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),478,yohG,,
Q7CQ90,reviewed,YOHO_SALTY,UPF0387 membrane protein YohO,yohO STM2161,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),35,yohO,,
Q7CQB5,unreviewed,Q7CQB5_SALTY,Putative ABC-type amino acid transporter,yecS STM1952,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),222,yecS,,
Q7CQC0,unreviewed,Q7CQC0_SALTY,Aromatic amino acid permease,tyrP STM1937,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),403,tyrP,,
Q7CQC2,unreviewed,Q7CQC2_SALTY,"Ferritin, EC 1.16.3.2",ftnB STM1932,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),167,ftnB,,
Q7CQD5,reviewed,MGRB_SALTY,PhoP/PhoQ regulator MgrB,mgrB STM1840,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),47,mgrB,,
Q7CQE8,unreviewed,Q7CQE8_SALTY,Ribosome-binding ATPase YchF,ychF STM1784,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),363,ychF,,
Q7CQF1,unreviewed,Q7CQF1_SALTY,Regulator of RpoS,hnr rssB STM1753,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),337,hnr,,rssB
Q7CQF2,unreviewed,Q7CQF2_SALTY,"UTP--glucose-1-phosphate uridylyltransferase, EC 2.7.7.9 (UDP-glucose pyrophosphorylase)",galU STM1752,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),302,galU,,
Q7CQG3,unreviewed,Q7CQG3_SALTY,"Putative peptidase, EC 3.4.21.-",sohB STM1716,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),348,sohB,,
Q7CQH2,unreviewed,Q7CQH2_SALTY,Putative membrane transporter of cations,STM1653,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),112,,,
Q7CQI8,unreviewed,Q7CQI8_SALTY,Acid stress chaperone HdeB,hdeB STM1562,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),109,hdeB,,
Q7CQJ0,reviewed,SRA_SALTY,"Stationary-phase-induced ribosome-associated protein, SRA (30S ribosomal protein S22)",sra rpsV STM1565,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),47,sra,,rpsV
Q7CQK3,unreviewed,Q7CQK3_SALTY,"NAD(P) transhydrogenase subunit beta, EC 7.1.1.1 (Nicotinamide nucleotide transhydrogenase subunit beta)",pntB STM1480,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),462,pntB,,
Q7CQK5,reviewed,YDGT_SALTY,Transcription modulator YdgT (H-NS/StpA-binding protein 2) (OriC-binding nucleoid-associated protein),ydgT cnu STM1461,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),71,ydgT,,cnu
Q7CQK9,unreviewed,Q7CQK9_SALTY,Glutaredoxin,ydhD STM1433,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),115,ydhD,,
Q7CQN7,unreviewed,Q7CQN7_SALTY,"Thioredoxin/glutathione peroxidase BtuE, EC 1.11.1.24, EC 1.11.1.9",btuE STM1341,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),183,btuE,,
Q7CQP4,unreviewed,Q7CQP4_SALTY,"Putative NAD(P)H nitroreductase, EC 1.-.-.-",ydjA STM1296,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),183,ydjA,,
Q7CQP8,reviewed,LEUE_SALTY,Leucine efflux protein,leuE STM1270,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),212,leuE,,
Q7CQR0,unreviewed,Q7CQR0_SALTY,HIT domain-containing protein,ycfF STM1205,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),119,ycfF,,
Q7CQR1,unreviewed,Q7CQR1_SALTY,"4-amino-4-deoxychorismate lyase, EC 4.-.-.-",pabC STM1198,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),269,pabC,,
Q7CQR9,reviewed,YCDX_SALTY,"Probable phosphatase YcdX, EC 3.1.3.-",ycdX STM1136,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),245,ycdX,,
Q7CQS8,reviewed,TUSE_SALTY,"Sulfurtransferase TusE, EC 2.8.1.- (tRNA 2-thiouridine synthesizing protein E)",tusE STM1084,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),109,tusE,,
Q7CQS9,reviewed,ACYP_SALTY,"Acylphosphatase, EC 3.6.1.7 (Acylphosphate phosphohydrolase)",yccX STM1083,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),93,yccX,,
Q7CQT0,reviewed,HSPQ_SALTY,Heat shock protein HspQ,hspQ STM1079,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),105,hspQ,,
Q7CQT6,unreviewed,Q7CQT6_SALTY,"tRNA 5-carboxymethoxyuridine methyltransferase, EC 2.1.1.- (cmo5U methyltransferase)",smtA cmoM STM0991,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),267,smtA,,cmoM
Q7CQT9,unreviewed,Q7CQT9_SALTY,30S ribosomal protein S1,rpsA STM0981,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),557,rpsA,,
Q7CQU2,unreviewed,Q7CQU2_SALTY,"Anaerobic dimethyl sulfoxide reductase, subunit C, EC 1.8.99.-",dmsC STM0966,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),287,dmsC,,
Q7CQU4,unreviewed,Q7CQU4_SALTY,Replication-associated recombination protein A,ycaJ STM0962,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),447,ycaJ,,
Q7CQU5,unreviewed,Q7CQU5_SALTY,"Thioredoxin reductase, EC 1.8.1.9",trxB STM0958,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),322,trxB,,
Q7CQU7,unreviewed,Q7CQU7_SALTY,Cold shock-like protein CspD,cspD STM0943,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),73,cspD,,
Q7CQV4,reviewed,GSID_SALTY,Glutathione transport system permease protein GsiD,gsiD STM0851,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),303,gsiD,,
Q7CQV7,unreviewed,Q7CQV7_SALTY,Putative periplasmic protein,ybiS STM0837,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),306,ybiS,,
Q7CQV8,unreviewed,Q7CQV8_SALTY,Outer membrane protein X,ompX STM0833,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),171,ompX,,
Q7CQW1,unreviewed,Q7CQW1_SALTY,Glutamine high-affinity transporter,glnP STM0829,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),219,glnP,,
Q7CQW2,unreviewed,Q7CQW2_SALTY,Glutamine high-affinity transporter,glnQ STM0828,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),240,glnQ,,
Q7CQW6,unreviewed,Q7CQW6_SALTY,Molybdenum cofactor biosynthesis protein B,moaB STM0803,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),170,moaB,,
Q7CQW7,unreviewed,Q7CQW7_SALTY,Molybdenum transport system permease,modB STM0782,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),229,modB,,
Q7CQW8,unreviewed,Q7CQW8_SALTY,Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z),acrZ STM0780,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),49,acrZ,,
Q7CQW9,unreviewed,Q7CQW9_SALTY,Peptidoglycan-associated protein,pal STM0749,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),174,pal,,
Q7CQX0,unreviewed,Q7CQX0_SALTY,Tol-Pal system protein TolR,tolR STM0746,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),142,tolR,,
Q7CQX1,unreviewed,Q7CQX1_SALTY,Tol-Pal system protein TolQ,tolQ STM0745,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),230,tolQ,,
Q7CQX3,unreviewed,Q7CQX3_SALTY,"Cytochrome d terminal oxidase polypeptide subunit II, EC 1.10.2.-, EC 1.10.3.-",cydB STM0741,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),379,cydB,,
Q7CQY0,reviewed,DTPD_SALTY,Dipeptide permease D,dtpD STM0710,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),493,dtpD,,
Q7CQY1,reviewed,SEQA_SALTY,Negative modulator of initiation of replication,seqA STM0697,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),180,seqA,,
Q7CQY8,unreviewed,Q7CQY8_SALTY,Glutamate/aspartate transporter,gltJ STM0664,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),246,gltJ,,
Q7CQZ1,unreviewed,Q7CQZ1_SALTY,"DNA polymerase III subunit delta, EC 2.7.7.7",holA STM0646,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),343,holA,,
Q7CQZ2,unreviewed,Q7CQZ2_SALTY,Ribosomal silencing factor RsfS,ybeB rsfS STM0642,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),105,ybeB,,rsfS
Q7CQZ5,unreviewed,Q7CQZ5_SALTY,"RNA chaperone, negative regulator of cspA transcription",cspE STM0629,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),69,cspE,,
Q7CQZ6,reviewed,CITD1_SALTY,Citrate lyase acyl carrier protein 1 (Citrate lyase gamma chain 1),citD1 citD STM0623,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),98,citD1,,citD
Q7CQZ7,unreviewed,Q7CQZ7_SALTY,Regulator of nucleoside diphosphate kinase,rnk STM0616,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),136,rnk,,
Q7CR05,unreviewed,Q7CR05_SALTY,Bactoprenol-linked glucose translocase,rfbI STM0559,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),120,rfbI,,
Q7CR09,unreviewed,Q7CR09_SALTY,Putative binding-protein-dependent transport systems inner membrane component,sfbC STM0512,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),219,sfbC,,
Q7CR19,unreviewed,Q7CR19_SALTY,Ammonium transporter,amtB STM0463,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),428,amtB,,
Q7CR30,reviewed,PHNR_SALTY,Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons,phnR STM0430,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),239,phnR,,
Q7CR39,unreviewed,Q7CR39_SALTY,Protein-export membrane protein SecF,secF STM0408,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),323,secF,,
Q7CR40,unreviewed,Q7CR40_SALTY,Sec translocon accessory complex subunit YajC,yajC STM0406,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),110,yajC,,
Q7CR41,reviewed,ACPH_SALTY,"Acyl carrier protein phosphodiesterase, ACP phosphodiesterase, EC 3.1.4.14",acpH STM0403,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),193,acpH,,
Q7CR42,unreviewed,Q7CR42_SALTY,Alkyl hydroperoxide reductase C (Peroxiredoxin) (Thioredoxin peroxidase),STM0402,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),200,,,
Q7CR43,unreviewed,Q7CR43_SALTY,Phosphate regulon transcriptional regulatory protein PhoB,phoB STM0397,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),229,phoB,,
Q7CR46,reviewed,IRAP_SALTY,Anti-adapter protein IraP,iraP STM0383,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),86,iraP,,
Q7CR60,unreviewed,Q7CR60_SALTY,"Peptidoglycan lytic exotransglycosylase, EC 4.2.2.n1",dniR STM0260,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),455,dniR,,
Q7CR61,unreviewed,Q7CR61_SALTY,Outer membrane lipoprotein RcsF,rcsF STM0244,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),134,rcsF,,
Q7CR62,reviewed,SYP_SALTY,"Proline--tRNA ligase, EC 6.1.1.15 (Prolyl-tRNA synthetase, ProRS)",proS STM0242,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),572,proS,,
Q7CR63,unreviewed,Q7CR63_SALTY,"Phosphatidate cytidylyltransferase, EC 2.7.7.41",cdsA STM0222,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),285,cdsA,,
Q7CR66,reviewed,ERPA_SALTY,Iron-sulfur cluster insertion protein ErpA,erpA STM0204,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),114,erpA,,
Q7CR80,unreviewed,Q7CR80_SALTY,Cell division protein FtsA,ftsA STM0132,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),420,ftsA,,
Q7CR84,reviewed,FTSL_SALTY,Cell division protein FtsL,ftsL STM0121,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),121,ftsL,,
Q7CR86,reviewed,DJLA_SALTY,Co-chaperone protein DjlA,djlA STM0094,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),270,djlA,,
Q7CR91,reviewed,CITD2_SALTY,Citrate lyase acyl carrier protein 2 (Citrate lyase gamma chain 2),citD2 STM0059,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),97,citD2,,
Q7CR92,unreviewed,Q7CR92_SALTY,"Peptidyl-prolyl cis-trans isomerase, EC 5.2.1.8",slpA STM0048,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),149,slpA,,
Q7CR96,unreviewed,Q7CR96_SALTY,Putative 5'-nucleotidase,STM0033,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),523,,,
Q7CRA2,unreviewed,Q7CRA2_SALTY,Putative regulatory protein,yaaH STM0009,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),188,yaaH,,
Q7CRA3,reviewed,LPT_SALTY,thr operon leader peptide (thr operon attenuator),thrL STM0001,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),21,thrL,,
Q8XF64,unreviewed,Q8XF64_SALTY,Heme exporter protein B,ccmB STM2253 STM3818,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),219,ccmB,,
Q8XFG8,unreviewed,Q8XFG8_SALTY,"Peptidyl-prolyl cis-trans isomerase, PPIase, EC 5.2.1.8",ppiB STM0536,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),164,ppiB,,
Q8XFS5,unreviewed,Q8XFS5_SALTY,Lipopolysaccharide assembly protein A,yciS lapA STM1709,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),102,yciS,,lapA
Q8XGT7,unreviewed,Q8XGT7_SALTY,Cytochrome c-type biogenesis protein,ccmF STM2249 STM3814,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),643,ccmF,,
Q8XGY0,unreviewed,Q8XGY0_SALTY,Heme exporter protein C (Cytochrome c-type biogenesis protein),ccmC STM2252 STM3817,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),245,ccmC,,
Q8ZJU1,unreviewed,Q8ZJU1_SALTY,Putative fimbrial usher protein,sthB STM4593,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),845,sthB,,
Q8ZJU5,unreviewed,Q8ZJU5_SALTY,"Histidine kinase, EC 2.7.13.3",creC STM4589,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),474,creC,,
Q8ZJU6,unreviewed,Q8ZJU6_SALTY,Response regulator in two-component regulatory system with CreC,creB STM4588,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),229,creB,,
Q8ZJV0,reviewed,SMP_SALTY,Protein Smp,smp STM4577,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),214,smp,,
